"","dates","SCDHI"
"1",1981-06-03,1.70497846389154
"2",1981-06-06,1.13103420815433
"3",1981-06-09,1.35219643931834
"4",1981-06-12,0.653066916335481
"5",1981-06-15,0.796013352608913
"6",1981-06-18,0.712428105385733
"7",1981-06-21,-0.192706329228633
"8",1981-06-24,0.640485855849525
"9",1981-06-27,2.20083342240222
"10",1981-06-30,1.45843495400447
"11",1981-07-03,1.23128617061206
"12",1981-07-06,0.906219413025901
"13",1981-07-09,0.591737847699359
"14",1981-07-12,0.60783807844517
"15",1981-07-15,0.389090037131869
"16",1981-07-18,0.884461384777239
"17",1981-07-21,0.268941202372346
"18",1981-07-24,0.946831968556537
"19",1981-07-27,-0.180098912605234
"20",1981-07-30,-0.0106872116830933
"21",1981-08-02,1.44621295854278
"22",1981-08-05,1.15043604341407
"23",1981-08-08,1.54196127073411
"24",1981-08-11,0.85071321601733
"25",1981-08-14,-0.334424559385216
"26",1981-08-17,-0.162666316454872
"27",1981-08-20,0.076476354889903
"28",1981-08-23,-0.632017865844519
"29",1981-08-26,-1.16795512641912
"30",1981-08-29,-0.414964787926156
"31",1982-06-03,0.312586600072739
"32",1982-06-06,0.302879292696231
"33",1982-06-09,0.0509110580127995
"34",1982-06-12,0.206832680774679
"35",1982-06-15,-0.546950547100409
"36",1982-06-18,0.552310766837509
"37",1982-06-21,1.31860956587659
"38",1982-06-24,2.42232927640994
"39",1982-06-27,1.4537278690707
"40",1982-06-30,0.5724354215395
"41",1982-07-03,1.26867492018248
"42",1982-07-06,0.560322860796935
"43",1982-07-09,-0.22881636401279
"44",1982-07-12,-0.6659015676828
"45",1982-07-15,0.116709491771177
"46",1982-07-18,0.289403079323325
"47",1982-07-21,0.985649292412055
"48",1982-07-24,0.0315644277917306
"49",1982-07-27,-0.33728447938209
"50",1982-07-30,-0.151338630216744
"51",1982-08-02,-0.229810712811699
"52",1982-08-05,0.0133262977960418
"53",1982-08-08,-0.286038841427448
"54",1982-08-11,-0.0396288048398537
"55",1982-08-14,0.684179300932232
"56",1982-08-17,0.516559195516779
"57",1982-08-20,0.320878928569049
"58",1982-08-23,-0.999243974461299
"59",1982-08-26,0.218240580364573
"60",1982-08-29,1.45905719448115
"61",1983-06-03,1.30005407779925
"62",1983-06-06,0.239288956252249
"63",1983-06-09,0.378246201292963
"64",1983-06-12,-0.908036525986245
"65",1983-06-15,-1.6094880332767
"66",1983-06-18,-0.956619148522314
"67",1983-06-21,-0.524197170230147
"68",1983-06-24,-0.888692545353083
"69",1983-06-27,0.183925100577498
"70",1983-06-30,-0.362562638062049
"71",1983-07-03,-0.328113913438444
"72",1983-07-06,0.683648413568994
"73",1983-07-09,0.232021824043314
"74",1983-07-12,-0.228064084228199
"75",1983-07-15,-0.00488825599890408
"76",1983-07-18,1.0500046104464
"77",1983-07-21,-0.577234293418447
"78",1983-07-24,-0.0647602737978173
"79",1983-07-27,1.27918685720116
"80",1983-07-30,0.317087168645055
"81",1983-08-02,0.704542254290063
"82",1983-08-05,-0.78214718750141
"83",1983-08-08,-0.572971996855137
"84",1983-08-11,0.0331787230867981
"85",1983-08-14,-0.98501495543282
"86",1983-08-17,-0.25290415133725
"87",1983-08-20,0.046286007850434
"88",1983-08-23,0.469480936054455
"89",1983-08-26,0.641847188323393
"90",1983-08-29,0.970941415498251
"91",1984-06-02,0.552207515479651
"92",1984-06-05,1.26858107015476
"93",1984-06-08,0.247139663107123
"94",1984-06-11,0.234457768079863
"95",1984-06-14,0.305463026199914
"96",1984-06-17,0.598670696107927
"97",1984-06-20,1.02227909339148
"98",1984-06-23,-0.114404471480424
"99",1984-06-26,-0.122523444785772
"100",1984-06-29,1.07063721871259
"101",1984-07-02,1.0697914620983
"102",1984-07-05,0.799215089780189
"103",1984-07-08,0.0372937050273999
"104",1984-07-11,1.56865291142254
"105",1984-07-14,2.11087874230637
"106",1984-07-17,0.798911332433696
"107",1984-07-20,0.670755732605342
"108",1984-07-23,0.811938209211367
"109",1984-07-26,0.27818238240954
"110",1984-07-29,-0.0155176069285516
"111",1984-08-01,0.704319738420617
"112",1984-08-04,0.8309888112961
"113",1984-08-07,0.953644690894437
"114",1984-08-10,0.962971482377924
"115",1984-08-13,0.106562381508593
"116",1984-08-16,-0.78827842200265
"117",1984-08-19,-1.39727084313618
"118",1984-08-22,-0.709477571375827
"119",1984-08-25,-0.570275356981227
"120",1984-08-28,-0.658079959458859
"121",1984-08-31,-0.103996651514971
"122",1985-06-03,0.0374526824356249
"123",1985-06-06,1.36565333417071
"124",1985-06-09,0.404804393291974
"125",1985-06-12,0.461331781814963
"126",1985-06-15,1.13049669653386
"127",1985-06-18,-0.105184656050082
"128",1985-06-21,-0.231401203105971
"129",1985-06-24,-0.542694963402914
"130",1985-06-27,-0.187770475373467
"131",1985-06-30,0.283921878262141
"132",1985-07-03,-0.206275028854567
"133",1985-07-06,-0.0121822211673193
"134",1985-07-09,0.184993103410567
"135",1985-07-12,0.111966713278314
"136",1985-07-15,0.864157833383856
"137",1985-07-18,0.990614456172149
"138",1985-07-21,0.858530287005525
"139",1985-07-24,0.85249562930588
"140",1985-07-27,2.12356088343218
"141",1985-07-30,2.5678220089011
"142",1985-08-02,0.850909056563932
"143",1985-08-05,0.97783681352202
"144",1985-08-08,-0.0939863392028965
"145",1985-08-11,0.993263969536573
"146",1985-08-14,1.65840936627869
"147",1985-08-17,1.66733879659473
"148",1985-08-20,1.56190845701881
"149",1985-08-23,2.05890019371031
"150",1985-08-26,1.27618759048191
"151",1985-08-29,0.156507075776474
